Primary Key,ASIN,Individual Rating,Review Title,Review Date,Review_Date,Verified Purchase,Helpful Votes,Cleaned Review Text,Sentiment,Standardized Category,Standardized Aspect,Standardized Pain Point
1786,B0DGX6TGRS,1.0,No warranty,Reviewed in India on 20 March 2025,2025-03-20,True,0,they are selling laptops with 6 mnths warranty only also accepting returns,Negative,Returns - Difficulty Returning,Return Process,Difficulty Returning
1787,B0DGX6TGRS,1.0,Defective product,Reviewed in India on 19 August 2024,2024-08-19,True,10,"there are scratches on laptop ans no one is ready come to pick up the product. false promises are made. amazon is worst for shopping, never buy electronics products. from amazon",Negative,Product Condition - Scratched,Product Condition,Scratched
1788,B0DGX6TGRS,1.0,Defective product,Reviewed in India on 19 August 2024,2024-08-19,True,10,"there are scratches on laptop ans no one is ready come to pick up the product. false promises are made. amazon is worst for shopping, never buy electronics products. from amazon",Negative,Delivery - Delay,Delivery,Delay
1789,B0DGX6TGRS,2.0,Screen not good,Reviewed in India on 19 January 2024,2024-01-19,True,3,good product but screen not good,Positive,Display - Poor Quality,Display,Poor Quality
1790,B0DGX6TGRS,2.0,not satisfied,Reviewed in India on 21 June 2025,2025-06-21,False,1,"it worked for 3-4 yrs and now the display is not working properly, it keeps flickering and doesnt get repaired properly too",Negative,Display - Flickering,Display,Flickering
1791,B0DGX6TGRS,2.0,not satisfied,Reviewed in India on 21 June 2025,2025-06-21,False,1,"it worked for 3-4 yrs and now the display is not working properly, it keeps flickering and doesnt get repaired properly too",Negative,Customer Service - Poor Repair Quality,Customer Service,Poor Repair Quality
1792,B0DGX6TGRS,1.0,Poor Screen Quality and Performance,Reviewed in India on 15 April 2025,2025-04-15,False,0,"i am extremely disappointed with the hp laptop 15-fd0xxx. the screen quality is abysmal, displaying everything in grayscale with a blurry and unclear output that makes it nearly impossible to use for any meaningful task. the lack of proper inclination further exacerbates the viewing experience, causing constant discomfort. the slow response time adds to the frustration, making navigation sluggish and inefficient. despite trying every possible settings combination, the screen fails to produce a true dark black color, leaving the display looking washed out and unusable. this product is a complete letdown and not worth the investment.",Negative,Display - Poor Viewing Angles,Display,Poor Viewing Angles
1793,B0DGX6TGRS,1.0,Poor Screen Quality and Performance,Reviewed in India on 15 April 2025,2025-04-15,False,0,"i am extremely disappointed with the hp laptop 15-fd0xxx. the screen quality is abysmal, displaying everything in grayscale with a blurry and unclear output that makes it nearly impossible to use for any meaningful task. the lack of proper inclination further exacerbates the viewing experience, causing constant discomfort. the slow response time adds to the frustration, making navigation sluggish and inefficient. despite trying every possible settings combination, the screen fails to produce a true dark black color, leaving the display looking washed out and unusable. this product is a complete letdown and not worth the investment.",Negative,Display - No Color / Grayscale Issue,Display,No Color / Grayscale Issue
1794,B0DGX6TGRS,1.0,Poor Screen Quality and Performance,Reviewed in India on 15 April 2025,2025-04-15,False,0,"i am extremely disappointed with the hp laptop 15-fd0xxx. the screen quality is abysmal, displaying everything in grayscale with a blurry and unclear output that makes it nearly impossible to use for any meaningful task. the lack of proper inclination further exacerbates the viewing experience, causing constant discomfort. the slow response time adds to the frustration, making navigation sluggish and inefficient. despite trying every possible settings combination, the screen fails to produce a true dark black color, leaving the display looking washed out and unusable. this product is a complete letdown and not worth the investment.",Negative,Display - Blurry and Unclear Output,Display,Blurry and Unclear Output
1795,B0DGX6TGRS,1.0,Poor Screen Quality and Performance,Reviewed in India on 15 April 2025,2025-04-15,False,0,"i am extremely disappointed with the hp laptop 15-fd0xxx. the screen quality is abysmal, displaying everything in grayscale with a blurry and unclear output that makes it nearly impossible to use for any meaningful task. the lack of proper inclination further exacerbates the viewing experience, causing constant discomfort. the slow response time adds to the frustration, making navigation sluggish and inefficient. despite trying every possible settings combination, the screen fails to produce a true dark black color, leaving the display looking washed out and unusable. this product is a complete letdown and not worth the investment.",Negative,Display - Limited Tilt/Angle Adjustability,Display,Limited Tilt/Angle Adjustability
1796,B0DGX6TGRS,1.0,Poor Screen Quality and Performance,Reviewed in India on 15 April 2025,2025-04-15,False,0,"i am extremely disappointed with the hp laptop 15-fd0xxx. the screen quality is abysmal, displaying everything in grayscale with a blurry and unclear output that makes it nearly impossible to use for any meaningful task. the lack of proper inclination further exacerbates the viewing experience, causing constant discomfort. the slow response time adds to the frustration, making navigation sluggish and inefficient. despite trying every possible settings combination, the screen fails to produce a true dark black color, leaving the display looking washed out and unusable. this product is a complete letdown and not worth the investment.",Negative,Display - Lagging / Slow Response,Display,Lagging / Slow Response
1797,B0DGX6TGRS,1.0,Poor Screen Quality and Performance,Reviewed in India on 15 April 2025,2025-04-15,False,0,"i am extremely disappointed with the hp laptop 15-fd0xxx. the screen quality is abysmal, displaying everything in grayscale with a blurry and unclear output that makes it nearly impossible to use for any meaningful task. the lack of proper inclination further exacerbates the viewing experience, causing constant discomfort. the slow response time adds to the frustration, making navigation sluggish and inefficient. despite trying every possible settings combination, the screen fails to produce a true dark black color, leaving the display looking washed out and unusable. this product is a complete letdown and not worth the investment.",Negative,Display - Poor Contrast / Black Reproduction,Display,Poor Contrast / Black Reproduction
1798,B0DGX6TGRS,5.0,Product delevary and easy cancellation process,Reviewed in India on 5 August 2024,2024-08-05,False,5,product is good but hp will provide ms office installed but in my case no ms office installed .is ther any chance es to provide ms office,Neutral,Software - MS Office Installation Missing,Software,MS Office Installation Missing
1799,B0DGX6TGRS,1.0,Configurations not actual as per diplayed,Reviewed in India on 9 August 2024,2024-08-09,False,6,16 go ram is shown on portal but in actual material is shipped with 8gb.. its totally cheating with customers,Negative,Memory (RAM) - Misleading/Lower Than Advertised,Memory (RAM),Misleading/Lower Than Advertised
1800,B0DP6RBVSK,5.0,Nice Product,Reviewed in India on 25 June 2025,2025-06-25,True,0,premium product.only missing piece is oled display.rest everything is great,Positive,Display - OLED Not Available,Display,OLED Not Available
1801,B0DP6RBVSK,4.0,Good,Reviewed in India on 5 April 2025,2025-04-05,True,1,"the screen resolution is excellent, and the build quality is impressive. battery life is also very good. however, the placement of the power button on the outer side is inconvenient, as it sometimes causes the device to accidentally turn on.",Positive,Design - Poor Button Placement,Design,Poor Button Placement
1802,B0DZDDV7GC,1.0,Very expensive,Reviewed in India on 21 March 2025,2025-03-21,False,30,very expensive apple have to give us free and we are not this much rich apple hay hay rotten apple,Negative,Price - High,Price,High
1803,B0DZDDV7GC,1.0,Very expensive,Reviewed in India on 21 March 2025,2025-03-21,False,30,very expensive apple have to give us free and we are not this much rich apple hay hay rotten apple,Negative,Value for Money - Not Worth It,Value for Money,Not Worth It
1804,B0C946F286,5.0,"Battery, performance",Reviewed in India on 15 February 2025,2025-02-15,True,11,"i used it for a month and it is fulfilling my needsa good purchasebattery backup is aslo good for normal use like watching movie, youtube, normal programming,and watching hotstarwhile playing game the battery drains a loti am stll checking for its performance.",Positive,Battery - Poor Battery Backup,Battery,Poor Battery Backup
1805,B0C946F286,1.0,"defective laptop, frustrating laptop",Reviewed in India on 16 June 2025,2025-06-16,True,2,"wifi function did not work sometimes .its very frustrating ,you are in middle of something and laptop get disconnected from internet. i tried many times to approach help from customer, i got the answer that dont worry but nothing happen . they assure me that product will replace but they continue extend the timeline . no hp did not respond on that . even hp agent also chatees and cancelled the ervice twice. dont buy this laptop, its useless",Negative,Wi-Fi - Frequent Disconnection,Wi-Fi,Frequent Disconnection
1806,B0C946F286,1.0,"defective laptop, frustrating laptop",Reviewed in India on 16 June 2025,2025-06-16,True,2,"wifi function did not work sometimes .its very frustrating ,you are in middle of something and laptop get disconnected from internet. i tried many times to approach help from customer, i got the answer that dont worry but nothing happen . they assure me that product will replace but they continue extend the timeline . no hp did not respond on that . even hp agent also chatees and cancelled the ervice twice. dont buy this laptop, its useless",Negative,Customer Support - Ineffective,Customer Support,Ineffective
1807,B0C946F286,1.0,"defective laptop, frustrating laptop",Reviewed in India on 16 June 2025,2025-06-16,True,2,"wifi function did not work sometimes .its very frustrating ,you are in middle of something and laptop get disconnected from internet. i tried many times to approach help from customer, i got the answer that dont worry but nothing happen . they assure me that product will replace but they continue extend the timeline . no hp did not respond on that . even hp agent also chatees and cancelled the ervice twice. dont buy this laptop, its useless",Negative,Warranty - Not Honored,Warranty,Not Honored
1808,B0C946F286,1.0,Used laptop.,Reviewed in India on 7 June 2025,2025-06-07,True,2,"looks used laptop, it shows that laptop started 6 months ago.",Negative,Authenticity - Suspected Used Product,Authenticity,Suspected Used Product
1809,B0C946F286,1.0,Damaged,Reviewed in India on 4 June 2025,2025-06-04,True,0,i have received damage product,Negative,Delivery - Damaged Product Received,Delivery,Damaged Product Received
1810,B0C946F286,5.0,Battery power,Reviewed in India on 5 July 2024,2024-07-05,True,16,peppermints display quality sound power always ultimate but the power little drop on this laptop and delivery is very bad,Negative,Performance - Poor Performance wile Charging,Performance,Poor Performance wile Charging
1811,B0C946F286,5.0,Nice product 😍,Reviewed in India on 22 June 2025,2025-06-22,False,0,performance battery build quality heat level gaming capability weight overall little bit drain battery while using gamingweight is around 2.35 kgs like 2.5kgsperformance nailed it . increase your ram...heavy gamers dont buy it... value for money i have purchased 49k ....thanks amazon,Positive,Performance - Battery Drain During Gaming,Performance,Battery Drain During Gaming
1812,B0C946F286,5.0,Nice product 😍,Reviewed in India on 22 June 2025,2025-06-22,False,0,performance battery build quality heat level gaming capability weight overall little bit drain battery while using gamingweight is around 2.35 kgs like 2.5kgsperformance nailed it . increase your ram...heavy gamers dont buy it... value for money i have purchased 49k ....thanks amazon,Positive,Design - Bulky,Design,Bulky
1813,B0C946F286,1.0,Battery draining issue,Reviewed in India on 15 December 2024,2024-12-15,True,7,evrything is fine but battery draining issue,Negative,Battery - Poor Battery Backup,Battery,Poor Battery Backup
1814,B0C946F286,5.0,32 GB ram supported easily,Reviewed in India on 23 May 2025,2025-05-23,False,2,for those who are wondering how much ram it can support....it can support 32 gb of ram .... unlike what has been advertised by hp...after a long time i decided to go for ram upgrade to 32 gb and it worked without any issue..looks like some brand dont want ryzen gpu to rise and btw if u put on the charger while playing any game u will observe significantly increase in fps..after almost an year usage i can say very easily that it is slightly better than rtx 3050...ray tracing is just a dillusion for mid range laptop so dont bother about the hype built by nvidia...u will be playing most modern games with ray tracing off if u want better fps...so no need to spend highly overpriced rtx 3050 laptop in my opinionhope it may help others to save their money..,Positive,Memory (RAM) - Not Upgradable,Memory (RAM),Not Upgradable
1815,B0C946F286,5.0,32 GB ram supported easily,Reviewed in India on 23 May 2025,2025-05-23,False,2,for those who are wondering how much ram it can support....it can support 32 gb of ram .... unlike what has been advertised by hp...after a long time i decided to go for ram upgrade to 32 gb and it worked without any issue..looks like some brand dont want ryzen gpu to rise and btw if u put on the charger while playing any game u will observe significantly increase in fps..after almost an year usage i can say very easily that it is slightly better than rtx 3050...ray tracing is just a dillusion for mid range laptop so dont bother about the hype built by nvidia...u will be playing most modern games with ray tracing off if u want better fps...so no need to spend highly overpriced rtx 3050 laptop in my opinionhope it may help others to save their money..,Positive,GPU - Misleading Advertising,GPU,Misleading Advertising
1816,B0C946F286,1.0,Hp warrenty,Reviewed in India on 4 July 2025,2025-07-04,False,0,"in my hp victua 15 5600h have yellow screen showing, but not any physical damage , hp team told me that its not cover under warrenty, and facing this type of issue me last 2 months, not provided any support from hp, so its worst product for me",Negative,Display - Yellow Tint / Discoloration,Display,Yellow Tint / Discoloration
1817,B0C946F286,1.0,Don't buy anything money weast,Reviewed in India on 28 May 2025,2025-05-28,False,0,money weast very bad laptop for caring one place to another place and not comfortable for using laptop screen and screen not stable and blinking problem phase do not buy hp victus 15 laptop very bad laptop,Negative,Build - Bulky,Build,Bulky
1818,B0C946F286,1.0,Don't buy anything money weast,Reviewed in India on 28 May 2025,2025-05-28,False,0,money weast very bad laptop for caring one place to another place and not comfortable for using laptop screen and screen not stable and blinking problem phase do not buy hp victus 15 laptop very bad laptop,Negative,Display - Flickering & Instability,Display,Flickering & Instability
1819,B0C946F286,3.0,Nawal,Reviewed in India on 19 July 2024,2024-07-19,False,38,not good for gaming and for this price it is bad i mean in every second it will lag and in the lowest settings do not buy it,Negative,Gaming - Poor Experience,Gaming,Poor Experience
1820,B0C946F286,3.0,Nawal,Reviewed in India on 19 July 2024,2024-07-19,False,38,not good for gaming and for this price it is bad i mean in every second it will lag and in the lowest settings do not buy it,Negative,Price - Not Justified,Price,Not Justified
1821,B0C946F286,1.0,Would not recommend for gaming,Reviewed in India on 18 August 2024,2024-08-18,False,7,it is a decent laptop for its price..butttt it has a big problem problem which probably isnt solvable.it has major frame drops even in the lowest graphics settings.i have played rdr2 and the laptop is capable of getting over 65fps on high settings but it suddenly drops to like 15 -20 which does not give u a nice gaming experience.i honestly regret buying this laptop.i searched for solutions on yt and google but none of them seem to work..but i did find a temporary fix but it doesnt give you the full performance..u can try changing the performance to quite in the hp omen hub it reduces the performance but works for some gameson quite mode i get around 50fps in rdr2 on high settings with no frame dropsthis might work on some games...this was for the rx6500m model idk abt the others if they have the same problem,Negative,Gaming - Frame Drops,Gaming,Frame Drops
1822,B0C946F286,1.0,Would not recommend for gaming,Reviewed in India on 18 August 2024,2024-08-18,False,7,it is a decent laptop for its price..butttt it has a big problem problem which probably isnt solvable.it has major frame drops even in the lowest graphics settings.i have played rdr2 and the laptop is capable of getting over 65fps on high settings but it suddenly drops to like 15 -20 which does not give u a nice gaming experience.i honestly regret buying this laptop.i searched for solutions on yt and google but none of them seem to work..but i did find a temporary fix but it doesnt give you the full performance..u can try changing the performance to quite in the hp omen hub it reduces the performance but works for some gameson quite mode i get around 50fps in rdr2 on high settings with no frame dropsthis might work on some games...this was for the rx6500m model idk abt the others if they have the same problem,Negative,Gaming - Performance Issues,Gaming,Performance Issues
1823,B0C946F286,1.0,Don't buy this product Battery issue,Reviewed in India on 22 August 2024,2024-08-22,False,7,"faced a problem with the battery and the customer care is not solving the issue and are asking me to do trouble shooting to get the problem fixed. even after that it did not get fixed. then i called them again and they said everything is working fine, we have checked all the reports. after that i again told them that this battery is not working even for 1/2 hour. then they sent me a quotation of 11000 and said that you deposit the money for it and you will get the battery when the laptop is under warranty.",Negative,Battery - Poor Battery Backup,Battery,Poor Battery Backup
1824,B0C946F286,1.0,Don't buy this product Battery issue,Reviewed in India on 22 August 2024,2024-08-22,False,7,"faced a problem with the battery and the customer care is not solving the issue and are asking me to do trouble shooting to get the problem fixed. even after that it did not get fixed. then i called them again and they said everything is working fine, we have checked all the reports. after that i again told them that this battery is not working even for 1/2 hour. then they sent me a quotation of 11000 and said that you deposit the money for it and you will get the battery when the laptop is under warranty.",Negative,Customer Service - Unresponsive,Customer Service,Unresponsive
1825,B0C946F286,1.0,Lot of issues low build quality hardware,Reviewed in India on 7 November 2024,2024-11-07,False,7,i using this laptop from one year and it is so under perfom and so lags and lot of software issues drivers bios even after update by hp support and mouse pad lag and pad buttons below stucks at corner side lot of time and cpu and gpu heat fast that you have to always fan speed at max .. please i not to recommend for gaming and content creators or 3d animationnow ssd burn and usb port not working.,Negative,Performance - Poor Performance,Performance,Poor Performance
1826,B0C946F286,1.0,Lot of issues low build quality hardware,Reviewed in India on 7 November 2024,2024-11-07,False,7,i using this laptop from one year and it is so under perfom and so lags and lot of software issues drivers bios even after update by hp support and mouse pad lag and pad buttons below stucks at corner side lot of time and cpu and gpu heat fast that you have to always fan speed at max .. please i not to recommend for gaming and content creators or 3d animationnow ssd burn and usb port not working.,Negative,Software - Multiple Issues,Software,Multiple Issues
1827,B0C946F286,1.0,Lot of issues low build quality hardware,Reviewed in India on 7 November 2024,2024-11-07,False,7,i using this laptop from one year and it is so under perfom and so lags and lot of software issues drivers bios even after update by hp support and mouse pad lag and pad buttons below stucks at corner side lot of time and cpu and gpu heat fast that you have to always fan speed at max .. please i not to recommend for gaming and content creators or 3d animationnow ssd burn and usb port not working.,Negative,Touchpad - Button Issues,Touchpad,Button Issues
1828,B0C946F286,1.0,Lot of issues low build quality hardware,Reviewed in India on 7 November 2024,2024-11-07,False,7,i using this laptop from one year and it is so under perfom and so lags and lot of software issues drivers bios even after update by hp support and mouse pad lag and pad buttons below stucks at corner side lot of time and cpu and gpu heat fast that you have to always fan speed at max .. please i not to recommend for gaming and content creators or 3d animationnow ssd burn and usb port not working.,Negative,CPU/GPU - Overheating,CPU/GPU,Overheating
1829,B0C946F286,1.0,Lot of issues low build quality hardware,Reviewed in India on 7 November 2024,2024-11-07,False,7,i using this laptop from one year and it is so under perfom and so lags and lot of software issues drivers bios even after update by hp support and mouse pad lag and pad buttons below stucks at corner side lot of time and cpu and gpu heat fast that you have to always fan speed at max .. please i not to recommend for gaming and content creators or 3d animationnow ssd burn and usb port not working.,Negative,Memory (SSD) - Burnout Issue,Memory (SSD),Burnout Issue
1830,B0C946F286,1.0,Lot of issues low build quality hardware,Reviewed in India on 7 November 2024,2024-11-07,False,7,i using this laptop from one year and it is so under perfom and so lags and lot of software issues drivers bios even after update by hp support and mouse pad lag and pad buttons below stucks at corner side lot of time and cpu and gpu heat fast that you have to always fan speed at max .. please i not to recommend for gaming and content creators or 3d animationnow ssd burn and usb port not working.,Negative,Ports - USB Not Working,Ports,USB Not Working
1831,B0CY2LDT1S,4.0,"Honest Review After 5 months of Use – Good for Development and regular use, Not for Gaming",Reviewed in India on 11 June 2025,2025-06-11,True,2,"performance use:great value for money below 1l price range.handles software development well can run 34 heavy ides.no external graphics card not suitable for gaming or video editing.good for students, developers, or office work. audio display:sound/speaker quality is a bit low, could be better.camera quality is good for video calls. battery heat:battery backup is good lasts 45 hours with normal use.gets quite hot while charging. build keyboard:keyboard is okay not the best in feel, but good one.build quality is decent for the price suggestions:if you can spend 20-30k more, consider a model with a dedicated graphics card and better build quality for gaming or editing.",Positive,Audio - Poor Sound Quality,Audio,Poor Sound Quality
1832,B0CY2LDT1S,4.0,"Honest Review After 5 months of Use – Good for Development and regular use, Not for Gaming",Reviewed in India on 11 June 2025,2025-06-11,True,2,"performance use:great value for money below 1l price range.handles software development well can run 34 heavy ides.no external graphics card not suitable for gaming or video editing.good for students, developers, or office work. audio display:sound/speaker quality is a bit low, could be better.camera quality is good for video calls. battery heat:battery backup is good lasts 45 hours with normal use.gets quite hot while charging. build keyboard:keyboard is okay not the best in feel, but good one.build quality is decent for the price suggestions:if you can spend 20-30k more, consider a model with a dedicated graphics card and better build quality for gaming or editing.",Positive,Build - Subpar Keyboard Build,Build,Subpar Keyboard Build
1833,B0CY2LDT1S,4.0,"Honest Review After 5 months of Use – Good for Development and regular use, Not for Gaming",Reviewed in India on 11 June 2025,2025-06-11,True,2,"performance use:great value for money below 1l price range.handles software development well can run 34 heavy ides.no external graphics card not suitable for gaming or video editing.good for students, developers, or office work. audio display:sound/speaker quality is a bit low, could be better.camera quality is good for video calls. battery heat:battery backup is good lasts 45 hours with normal use.gets quite hot while charging. build keyboard:keyboard is okay not the best in feel, but good one.build quality is decent for the price suggestions:if you can spend 20-30k more, consider a model with a dedicated graphics card and better build quality for gaming or editing.",Positive,Battery - Heating While Charging,Battery,Heating While Charging
1834,B0CY2LDT1S,1.0,Worst Laptop,Reviewed in India on 19 March 2025,2025-03-19,True,19,"worst experience this time after buying 15-20 laptops from amazon. we purchased the laptop on 17.02.2025 and did not even use unbox the laptop for a week and later we started usingit and by than the replacement window was closed on 25.02.2025. while we understand that the replacement window for this purchase has expired, we are writing to you in good faith as this is a high value purchase for our business and we have been a regular customer for laptop from your website. we are already in touch with lenovo support team but their trouble shooting so far have been unsatisfactory and time consuming wherein the problem lies with the hardware. there are two main problems prompting us to request for a replacement - 1 the microphone and speakers does not work, though there were glitches which lenovo support fixed, these have completely stopped working now. it works with wireless bluetooth only which proves that the problem lies with the hardware. 2 the fast-charging adaptor is actually fast but the battery also drains out eaqually fast, in approximately 3-4 hours, which is not a good sign for a new laptop. please look into our replacement request carefully as it will impact our future purchases too. thank you!",Negative,Audio - Mic and Speakers Not Working,Audio,Mic and Speakers Not Working
1835,B0CY2LDT1S,1.0,Worst Laptop,Reviewed in India on 19 March 2025,2025-03-19,True,19,"worst experience this time after buying 15-20 laptops from amazon. we purchased the laptop on 17.02.2025 and did not even use unbox the laptop for a week and later we started usingit and by than the replacement window was closed on 25.02.2025. while we understand that the replacement window for this purchase has expired, we are writing to you in good faith as this is a high value purchase for our business and we have been a regular customer for laptop from your website. we are already in touch with lenovo support team but their trouble shooting so far have been unsatisfactory and time consuming wherein the problem lies with the hardware. there are two main problems prompting us to request for a replacement - 1 the microphone and speakers does not work, though there were glitches which lenovo support fixed, these have completely stopped working now. it works with wireless bluetooth only which proves that the problem lies with the hardware. 2 the fast-charging adaptor is actually fast but the battery also drains out eaqually fast, in approximately 3-4 hours, which is not a good sign for a new laptop. please look into our replacement request carefully as it will impact our future purchases too. thank you!",Negative,Battery - Poor Battery Backup,Battery,Poor Battery Backup
1836,B0CY2LDT1S,4.0,Professional laptop,Reviewed in India on 25 May 2025,2025-05-25,True,1,"great laptop for price range, laptop hardware configuration makes it very fast but battery could have been better for a non gaming laptop, my choice was this or mac book m4 air, but i needed additional ram and storage so this fit my requirement",Positive,Battery - Poor Battery Backup,Battery,Poor Battery Backup
1837,B0CY2LDT1S,3.0,"Good product, bad service",Reviewed in India on 29 June 2025,2025-06-29,True,0,"product is good, had minor issue which amazon tried to resolve by service inspection, which was not done at all marked as issue resolved4.5 star for product0 star for amazon serivce",Neutral,Customer Service - Poor Resolution,Customer Service,Poor Resolution
1838,B0CY2LDT1S,4.0,Coding and Programming!,Reviewed in India on 26 January 2025,2025-01-26,True,7,"i wanted a laptop which will last for 3-4 years, the specs will take care of android studio and any type of coding for another couple of years. you dont need this laptop for web development, just buy lower models like 16gb/512gb intel ultra 5display: satisfied with the quality not with the brightness though, could have been 600nits.processorramstorage: cant get better at this price 95k range, especially for a hybrid app developer.battery: it will last easily for approx 6 hours with 70 brightness.webcam: scam 1080p..? i dont know, camera feels like 720p macbook webcam.build quality: just as good as macbook with better key travel, amazing trackpadglass.speakers: loud and clear with no base at all. so, use headphone/bluetooth speaker this shouldnt be big of a deal.fan noise: i can say for windows laptop the noise levels are very low.consssss: im still not able get the output from usb type c monitor has 65w output dp,i tried multiple times. currently using hdmi to connect a monitor. i have no idea is it a software issue or a hardware.",Positive,Display - Low Brightness,Display,Low Brightness
1839,B0CY2LDT1S,4.0,Coding and Programming!,Reviewed in India on 26 January 2025,2025-01-26,True,7,"i wanted a laptop which will last for 3-4 years, the specs will take care of android studio and any type of coding for another couple of years. you dont need this laptop for web development, just buy lower models like 16gb/512gb intel ultra 5display: satisfied with the quality not with the brightness though, could have been 600nits.processorramstorage: cant get better at this price 95k range, especially for a hybrid app developer.battery: it will last easily for approx 6 hours with 70 brightness.webcam: scam 1080p..? i dont know, camera feels like 720p macbook webcam.build quality: just as good as macbook with better key travel, amazing trackpadglass.speakers: loud and clear with no base at all. so, use headphone/bluetooth speaker this shouldnt be big of a deal.fan noise: i can say for windows laptop the noise levels are very low.consssss: im still not able get the output from usb type c monitor has 65w output dp,i tried multiple times. currently using hdmi to connect a monitor. i have no idea is it a software issue or a hardware.",Positive,Ports - USB-C Monitor Connectivity Issues,Ports,USB-C Monitor Connectivity Issues
1840,B0CY2LDT1S,5.0,"Fast, peforamant and lightweight",Reviewed in India on 18 June 2025,2025-06-18,True,0,"laptop seal was broken but everything was perfect. laptop is very much fast, performance is good",Positive,Packaging - Damaged,Packaging,Damaged
1841,B0CY2LDT1S,3.0,Average,Reviewed in India on 25 May 2025,2025-05-25,True,0,"product is awesome in this price... but lenovo will ask money for other things like to boost up machine, security, etc.",Positive,Additional Features - Costly,Additional Features,Costly
1842,B0CY2LDT1S,5.0,Should u buy it or not,Reviewed in India on 21 December 2024,2024-12-21,True,10,every thing is good except battery backup as it is only 3.5 hours at 40 percent battery at battery saver mode on and this laptop claims the average time slot of 5 hours which is disappointing i would say dont go with this laptop if battery is your primary concern..... more over i am facing battery calibration issues and leveno team os not helping me at all also amazon 7 day replacement policy is going to end tommorow for my product and i dont think they will replace mt product though i had informed them that it has issues ..... worst coustmer support from lenovo there coustmer support does not work and live chat option with expert services for coustmer support is unable to resolve issues they try though.... but for my case they were not able to and had cut the conversation..... i hope amazon technician will resolve laptop battery issue .... i will keep you guys updated ....... until then i dont recommend this laptop to any one .,Negative,Battery - Poor Battery Backup,Battery,Poor Battery Backup
1843,B0CY2LDT1S,5.0,Should u buy it or not,Reviewed in India on 21 December 2024,2024-12-21,True,10,every thing is good except battery backup as it is only 3.5 hours at 40 percent battery at battery saver mode on and this laptop claims the average time slot of 5 hours which is disappointing i would say dont go with this laptop if battery is your primary concern..... more over i am facing battery calibration issues and leveno team os not helping me at all also amazon 7 day replacement policy is going to end tommorow for my product and i dont think they will replace mt product though i had informed them that it has issues ..... worst coustmer support from lenovo there coustmer support does not work and live chat option with expert services for coustmer support is unable to resolve issues they try though.... but for my case they were not able to and had cut the conversation..... i hope amazon technician will resolve laptop battery issue .... i will keep you guys updated ....... until then i dont recommend this laptop to any one .,Negative,Customer Support - Ineffective,Customer Support,Ineffective
1844,B0CY2LDT1S,5.0,Should u buy it or not,Reviewed in India on 21 December 2024,2024-12-21,True,10,every thing is good except battery backup as it is only 3.5 hours at 40 percent battery at battery saver mode on and this laptop claims the average time slot of 5 hours which is disappointing i would say dont go with this laptop if battery is your primary concern..... more over i am facing battery calibration issues and leveno team os not helping me at all also amazon 7 day replacement policy is going to end tommorow for my product and i dont think they will replace mt product though i had informed them that it has issues ..... worst coustmer support from lenovo there coustmer support does not work and live chat option with expert services for coustmer support is unable to resolve issues they try though.... but for my case they were not able to and had cut the conversation..... i hope amazon technician will resolve laptop battery issue .... i will keep you guys updated ....... until then i dont recommend this laptop to any one .,Negative,Battery - Calibration Issues,Battery,Calibration Issues
1845,B0CY2LDT1S,4.0,"Compact, Powerful and Beautiful",Reviewed in India on 20 July 2024,2024-07-20,True,17,"the laptop has good build quality with full metal body, looks slik and professional much like mac. i will go as far as calling it the lenovos macbook. the display is fairly, would have been best if we did not get a lot of glare and reflection. display is bright.however there are some minor cons are there to take away the 5th star. heating is an issue with all laptops from this segment and this is not an exception, they did cost cut through build quality of touch pad and keyboard, the quality of both feels cheap. last is the sound, well, dont expect much buy a good quality earphone.",Neutral,Display - Glare/Reflection Issues,Display,Glare/Reflection Issues
1846,B0CY2LDT1S,4.0,"Compact, Powerful and Beautiful",Reviewed in India on 20 July 2024,2024-07-20,True,17,"the laptop has good build quality with full metal body, looks slik and professional much like mac. i will go as far as calling it the lenovos macbook. the display is fairly, would have been best if we did not get a lot of glare and reflection. display is bright.however there are some minor cons are there to take away the 5th star. heating is an issue with all laptops from this segment and this is not an exception, they did cost cut through build quality of touch pad and keyboard, the quality of both feels cheap. last is the sound, well, dont expect much buy a good quality earphone.",Neutral,Thermal Management - Overheating,Thermal Management,Overheating
1847,B0CY2LDT1S,4.0,"Compact, Powerful and Beautiful",Reviewed in India on 20 July 2024,2024-07-20,True,17,"the laptop has good build quality with full metal body, looks slik and professional much like mac. i will go as far as calling it the lenovos macbook. the display is fairly, would have been best if we did not get a lot of glare and reflection. display is bright.however there are some minor cons are there to take away the 5th star. heating is an issue with all laptops from this segment and this is not an exception, they did cost cut through build quality of touch pad and keyboard, the quality of both feels cheap. last is the sound, well, dont expect much buy a good quality earphone.",Neutral,Keyboard - Poor Build Quality,Keyboard,Poor Build Quality
